EXP No,Flag,MAC Address,Advertising Data,Manufacturer Specific Data,SS at 0.02m,SS at 0.5m,SS at 1m,SS at 3m,SS at 5m,DM at 0.02m,DM at 0.5m,DM at 1m,DM at 3m,DM at 5m,Detected
46,0,DA:A9:07:B4:20:DC,0X1EFF4C00121910B50BE2307B22FABB73DCD9FFBA6740527943E13C49A90228,0X121910B50BE2307B22FABB73DCD9FFBA6740527943E13C49A90228,-27,-49,-57,-74,-78,0.423,0.88,1.638,4.279,4.971,Yes
47,0,DA:A9:07:B4:20:DC,0X1EFF4C00121910B50BE2307B22FABB73DCD9FFBA6740527943E13C49A90228,0X121910B50BE2307B22FABB73DCD9FFBA6740527943E13C49A90228,-23,-46,-63,-74,-81,0.346,1.358,1.033,4.351,5.628,Yes
48,0,DA:A9:07:B4:20:DC,0X1EFF4C00121910B50BE2307B22FABB73DCD9FFBA6740527943E13C49A90228,0X121910B50BE2307B22FABB73DCD9FFBA6740527943E13C49A90228,-22,-49,-56,-71,-84,0.214,1.807,2.619,5.275,4.463,Yes
49,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No
50,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No
51,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No
52,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No
53,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No
54,0,EC:A4:CE:3D:E0:A8,0X1EFF4C00121910DF7D90E4A791636526DCD79DD488F6795F10CC126E3C01A8,0X121910DF7D90E4A791636526DCD79DD488F6795F10CC126E3C01A8,-24,-47,-63,-71,NA,0.237,1.889,3.04,4.478,NA,Yes
55,0,D1:E1:3D:93:60:34,0X1EFF4C0012191055A816F1DBF2F7FADC2CD18988F8C18E478CB7EA73AD0034,0X12191055A816F1DBF2F7FADC2CD18988F8C18E478CB7EA73AD0034,-23,-45,-62,-71,NA,0.284,0.796,2.833,4.198,NA,Yes
56,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No
57,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No
58,0,EC:A4:CE:3D:E0:A8,0X1EFF4C00121910DF7D90E4A791636526DCD79DD488F6795F10CC126E3C01A8,0X121910DF7D90E4A791636526DCD79DD488F6795F10CC126E3C01A8,-22,-45,-53,-73,-80,0.418,1.364,2.316,2.498,6.784,Yes
59,0,D1:E1:3D:93:60:34,0X1EFF4C0012191055A816F1DBF2F7FADC2CD18988F8C18E478CB7EA73AD0034,0X12191055A816F1DBF2F7FADC2CD18988F8C18E478CB7EA73AD0034,-22,-47,-58,-73,-76,0.405,1.879,2.219,5.009,8.376,Yes
60,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No
61,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No
62,0,FA:AB:29:CE:49:73,0X1EFF4C00121910F82B595636E9D4D13BE96844D16AED8DF02A27ABA9C10273,0X121910F82B595636E9D4D13BE96844D16AED8DF02A27ABA9C10273,-24,-47,-57,-71,-80,0.479,1.629,3.038,3.312,4.337,Yes
63,0,E0:3A:2C:C9:2E:FD,0X1EFF4C001219105CB4F25D26DF1C0B87ADEA40EF545BE380168F7E780003FD,0X1219105CB4F25D26DF1C0B87ADEA40EF545BE380168F7E780003FD,-23,-46,-62,-73,-82,0.315,1.827,1.349,5.066,7.833,Yes
64,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No
65,0,FA:AB:29:CE:49:73,0X1EFF4C00121910F82B595636E9D4D13BE96844D16AED8DF02A27ABA9C1026B,0X121910F82B595636E9D4D13BE96844D16AED8DF02A27ABA9C1026B,-25,-47,-63,-70,-80,0.272,1.553,1.622,2.092,8.103,Yes
66,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No
67,0,E0:3A:2C:C9:2E:FD,0X1EFF4C001219105CB4F25D26DF1C0B87ADEA40EF545BE380168F7E7800032F,0X1219105CB4F25D26DF1C0B87ADEA40EF545BE380168F7E7800032F,-23,-48,-61,-74,-83,0.337,0.896,1.17,2.142,4.632,Yes
68,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No
69,0,FA:AB:29:CE:49:73,0X1EFF4C00121910F82B595636E9D4D13BE96844D16AED8DF02A27ABA9C1024A,0X121910F82B595636E9D4D13BE96844D16AED8DF02A27ABA9C1024A,-23,-48,-59,-71,-84,0.333,1.355,2.009,3.511,4.986,Yes
70,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No
71,0,E0:3A:2C:C9:2E:FD,0X1EFF4C001219105CB4F25D26DF1C0B87ADEA40EF545BE380168F7E78000336,0X1219105CB4F25D26DF1C0B87ADEA40EF545BE380168F7E78000336,-25,-45,-52,-74,-76,0.386,0.913,0.94,5.032,7.242,Yes
72,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No
73,0,FA:AB:29:CE:49:73,0X1EFF4C00121910F82B595636E9D4D13BE96844D16AED8DF02A27ABA9C102EA,0X121910F82B595636E9D4D13BE96844D16AED8DF02A27ABA9C102EA,-26,-48,-62,-71,-77,0.241,1.712,2.757,4.983,5.241,Yes
74,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No
75,0,E0:3A:2C:C9:2E:FD,0X1EFF4C001219105CB4F25D26DF1C0B87ADEA40EF545BE380168F7E7800037B,0X1219105CB4F25D26DF1C0B87ADEA40EF545BE380168F7E7800037B,-25,-49,-59,-74,-80,0.498,1.432,2.291,3.228,6.114,Yes
76,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No
77,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No
78,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No
79,0,D3:BC:BA:3B:EE:8D,0X1EFF4C00121910D60B308E463F754B48B925AC19AE5FC58D8F9A90DDDF038D,0X121910D60B308E463F754B48B925AC19AE5FC58D8F9A90DDDF038D,-23,-45,-60,-71,NA,0.402,1.447,0.938,3.478,NA,Yes
80,0,D3:BC:BA:3B:EE:8D,0X1EFF4C00121910D60B308E463F754B48B925AC19AE5FC58D8F9A90DDDF038D,0X121910D60B308E463F754B48B925AC19AE5FC58D8F9A90DDDF038D,-24,-46,-58,-73,NA,0.456,1.494,1.64,4.419,NA,Yes
